id,name,value_type,description
a126ca530c8e48d5b88882c734c38935,name,TEXT,Primary name or label
c6f36f8a8e22546ea7618ac008d2f91e,rxcui,TEXT,RxNorm Concept Unique Identifier
fd0c76eae47c55bbac4cca96203752c1,tty,TEXT,RxNorm Term Type
9a38ee871c3e539e913214a93acd9b6e,rela_code,TEXT,Raw RxNorm relationship code (RO/RN/RB)
bdd863e095365bbea65deae8ebf1e81b,pubchem_cid,NUMBER,PubChem Compound ID
56e99a1b93b2573689e2f6a6c662df10,smiles,TEXT,SMILES molecular structure
6b432fc791ad5358b1f17fdc6abcfacc,inchikey,TEXT,InChIKey identifier
5fbf742a110d508abc9af6a1cd1e49e7,iupac_name,TEXT,IUPAC systematic name
142b832ceb175b31a9becc432f8fb568,molecular_formula,TEXT,Molecular formula
20aba01a611d57e1bb02ca665dd61acd,molecular_weight,NUMBER,Molecular weight in Daltons
694ec99a6c8e555caba8d8bb72f302c8,ndc_code,TEXT,National Drug Code
78d0af3db973513e8be0cb76afa5e9c4,fda_set_id,TEXT,FDA SET ID for package insert
220842e76a3f5a558d90d4a9900c7cf6,effective_time,TIME,Effective date/time of drug label
fb191ea1c3f6509cb855cb7874f126e0,content,TEXT,Text content of a document section
75759154dbfa5408a945cdb1b7568404,set_id,TEXT,Unique identifier for document set
71641beff75757c896e1e0f276c59dc8,pubchem_date,TIME,PubChem data retrieval date
c2842d1831e35b2f82fb74b532f4508b,pmid,TEXT,PubMed ID reference
67409ee3611d533d8406ee1b7671908b,sid,TEXT,PubChem Substance ID
3cc9e11445a1581b991da4ddc367dd83,mesh_classes,TEXT,MeSH classification codes
a6f52a44a6715b67ab67b581dfff2691,source,TEXT,Data source name
8f53fdb78b1d57ea966df27756f63ee2,citation,TEXT,Citation for data source
f45c31a409ba54e6bbd26381a9fc13cb,date_accessed,TIME,Date data was accessed
1aad4d5ca27257c7bb3dfb2df0798511,source_url,URL,URL to data source
64be6ca0668757a2911735a2011822c8,provenance_type,TEXT,"Type of provenance: AUTOMATED, EXPERT, INFERRED, IMPORTED"
0c005626550a56f2a768d4aaf46d32b7,section_type,TEXT,Type of document section
b9b9cc9666535ee1babb864f112ffa0a,sequence,NUMBER,Order sequence
90a265b985445b7ab50adcdac7d41c53,class_name,TEXT,Drug class name
533ae9a005e95813b31abb4cb6a24d7f,class_type,TEXT,"Classification system (ATC, MeSH, etc.)"
918c45ed2525555cbe5a9e02a0f47b3c,class_code,TEXT,Classification code
a8e8faf33ae258c6b0c4388cc168e140,clinical_weight,NUMBER,Weighted clinical relationship
bb5fd109f74e586ca71b5cdf095e5ab8,evidence,TEXT,Evidence supporting a clinical relationship
c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0,exact_mass,FLOAT,Exact molecular mass
