id,name,description,inverse
8910b027419958f6b3c8aeeb47b9a7c4,has_section,Package insert has this section,section_of
1b8927eed2be5e369d64f9ab39f23c20,section_of,Section belongs to this package insert,has_section
bbfc2d2a73895f23870db02e161896a1,manufactured_by,Package insert manufactured by this company,manufactures
d00bacd0023f591ea5e0fe23d7ad405e,manufactures,Manufacturer produces this drug product,manufactured_by
d085f236da3c51fca583c72e7058973b,has_ingredient,Drug has this ingredient,ingredient_of
708910ff645b507ab5616dbd680b5802,ingredient_of,Ingredient is in this drug,has_ingredient
307907247a3c5be682ed242bb61a2947,has_precise_ingredient,Drug has this precise ingredient (salt form),precise_ingredient_of
9147c85a51ea5a2481824d2aefe5956d,precise_ingredient_of,Precise ingredient is in this drug,has_precise_ingredient
73f2d9bc321054dc80888064f36282fb,has_ingredients,Multiple ingredients drug has,ingredients_of
f44019f93b2258119d1022c4f39b9da5,ingredients_of,Ingredients are in this multiple ingredient drug,has_ingredients
29f07e00f9d45f76aef7e6c03f00441b,has_dose_form,Drug has this dose form,dose_form_of
cbf90e604bf458719df7ad10fd90c07f,dose_form_of,Dose form is used by this drug,has_dose_form
d0b2263a97d651ae8e43aab87e69ea18,has_doseformgroup,Drug belongs to this dose form group,doseformgroup_of
b74d6b2005505263a22c10fe0ed1f591,doseformgroup_of,Dose form group contains this drug,has_doseformgroup
a42836a8c04757e1a995531b8ff3200b,has_tradename,Drug has this brand/trade name,tradename_of
dbc766b554f0579da4c7b7c29924d6a3,tradename_of,Brand name is for this drug,has_tradename
12a84f5c305857b782821609c5e2b59b,is_a,Entity is a subtype of,inverse_isa
dd9264e954d650f98f97cc5d471e5a51,inverse_isa,Entity is a supertype of,is_a
88c43b5be4eb5fe78b09872e9a9c3c70,consists_of,Drug consists of these components,constitutes
f5e289c3d13a5aaaa38b22448f7e38ab,constitutes,Component constitutes this drug,consists_of
ab9a31412f9e547b8029497eb30628c0,contains,Pack contains this drug,contained_in
987c2a6519b55e89b56eb4c83eb1465b,contained_in,Drug is contained in this pack,contains
94272e15b3535feab43867d3b374f608,has_part,Entity has this part,part_of
1df119c2ba785c688aafd35556e3fab6,part_of,Entity is part of this,has_part
3df206ec784d51c5a1bf724192b70a95,has_form,Drug has this form (salt form),form_of
d3077c62a9875bfbace8602b42872f43,form_of,Form is of this drug,has_form
5d772805f394592e845a7012c25281ee,reformulated_to,Drug was reformulated to this,reformulation_of
92d9cccaa51a530fa54739f949d8ecff,reformulation_of,Drug is a reformulation of this,reformulated_to
be4078ffae3f59f49380856d4c1bd4a2,has_quantified_form,Drug has this quantified form,quantified_form_of
0a457d86f2d95f559bfdad696be256dc,quantified_form_of,Quantified form is of this drug,has_quantified_form
4ce9ae047e1d564ba8fd65e8d1e4c9ed,has_boss,Drug has this boss (active moiety),boss_of
944723adb1ff558eb2c0afb78e51b18f,boss_of,Boss (active moiety) of this drug,has_boss
058c8fbac6035b91a55a43d5844212cb,equivalent_to,Entity is equivalent to,equivalent_to
4e096f6ad94b5fff833908d03cbf6a9d,maps_to_rxcui,NDC maps to this RxCUI,mapped_from_ndc
30d91a5829255f5c9462103d258ff1af,mapped_from_ndc,RxCUI is mapped from this NDC,maps_to_rxcui
40336b51fbf358408ee0cbcc808d43b6,has_provenance,Entity has provenance information,
0e3f504a08505cd28539515075f54016,has_component,Ingredient has clinical drug component,ingredient_of
bc50e26cdc415429a8c140b5b1b4d6a0,has_group,Ingredient has clinical drug group,group_of
00ed8d30bf8456c4b33a2a4ff988ac91,group_of,Clinical drug group of this ingredient,has_group
b0ccdffbc16e548e812d9064a64b067f,has_clinical_drug,Component/form/group has clinical drug,clinical_drug_of
26688c23dc025cbc8cddd7fdad6631aa,clinical_drug_of,Clinical drug of this component,has_clinical_drug
2b6284f30a3a5147a2ec9f4a6f41da1d,has_branded_drug,Clinical drug has branded drug,branded_drug_of
9f0faaa4702956d8aaab2d4ae25a611a,branded_drug_of,Branded drug of this clinical drug,has_branded_drug
0e66e38d790c5e9c9a920a3168377112,has_branded_component,Clinical component has branded component,branded_component_of
40baad5e4ec75486a3718ae9b6618f84,branded_component_of,Branded component of this clinical component,has_branded_component
8b1e4c46d919506e9ed812e6e7590bb9,has_branded_form,Clinical form has branded form,branded_form_of
98350ff0ed20593eadac13818df49426,branded_form_of,Branded form of this clinical form,has_branded_form
4eb302f0a3c85a25a2986a2c1828d7c4,has_branded_group,Clinical group has branded group,branded_group_of
f2d18e674fab5a1b8752fc121b64c595,branded_group_of,Branded group of this clinical group,has_branded_group
bbb8b6159784578583ec4dc46fd10fb9,has_brand_name,Entity has brand name,brand_name_of
6e63472c82dc54039851b9d65e1b7709,brand_name_of,Brand name of this entity,has_brand_name
7add47a809c758a9bd81c0d137b8ef63,has_brand,Branded drug has brand,brand_of
9ffac82cc20e565eaaeefccf16e8e8e2,brand_of,Brand of this branded drug,has_brand
c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6,has_pubchem,Links to PubChem compound entry,
