id,name,description,tty
872c3315c0535e9ab732cc59315e8de8,Ingredient,Active pharmaceutical ingredient (IN),IN
6b18f15461c25b71ac160c7f1521f1d3,PreciseIngredient,Precise ingredient - salt form (PIN),PIN
d97e571b44ea59efac98a94924f1a13a,MultipleIngredient,Multiple ingredient combination (MIN),MIN
72b2529849a550059f30786ce70baeec,SpecificSubstance,Specific substance (SU),SU
3d12ae1650f35456854fa939aeb94e2a,ClinicalDrugComponent,Semantic Clinical Drug Component (SCDC),SCDC
8c8b44c70f755dae959f5bc046d811ea,ClinicalDrugForm,Semantic Clinical Drug Form (SCDF),SCDF
087fe30629f95f1bae5717725032328e,ClinicalDrugGroup,Semantic Clinical Drug Group (SCDG),SCDG
90c5e27051c05bd49738321862f71d3d,ClinicalDrugGroupPrecise,Semantic Clinical Drug Group Precise (SCDGP),SCDGP
02ee5c381f55585485547fbed6b47a79,ClinicalDrug,Semantic Clinical Drug (SCD),SCD
3c9b039a3ea25af0b70d5bb88f22a8b1,BrandedDrugComponent,Semantic Branded Drug Component (SBDC),SBDC
25604202f54955148ad093caa37d6093,BrandedDrugForm,Semantic Branded Drug Form (SBDF),SBDF
12043bb951c654b4b2a89302c7446cc0,BrandedDrugGroup,Semantic Branded Drug Group (SBDG),SBDG
ab53698cdc9b59ae9b48b6f8131254b3,BrandedDrug,Semantic Branded Drug (SBD),SBD
702b256eb8b050daa4c359ff7532ac52,BrandName,Brand name for a drug (BN),BN
4ea77a9d940058c8ab1661139ad9a119,DoseForm,Dosage form (DF),DF
16b2da99a0c25c02a771ddeca90aa01d,DoseFormGroup,Dose form group (DFG),DFG
fe41d17b4cc653bdb2df66c60050470d,GenericPack,Generic pack (GPCK),GPCK
613d979f295a56e89d32a4238e7902dd,BrandPack,Brand pack (BPCK),BPCK
10355cecd79e5fb1b54d284e06dfb428,PrescribableName,Prescribable name (PSN),PSN
b24bc2abab945bbe93185f6cdd5ba2fa,Synonym,Synonym (SY),SY
56b9b75206bb5452a11cb39dfb564ab3,TallManSynonym,Tall man synonym (TMSY),TMSY
70f77257866a5fd6a600fff8e6675e02,DrugProduct,Drug product (NDDF DP),DP
506b6136d24b5fe582b7e13ef24aca2b,MTHDrugProduct,MTH drug product,MTH_RXN_DP
0af427a2b7df5f6dbdb4fb86a54359fd,PackageInsert,FDA drug label/package insert document,
0a3ca69483c45be1a959deed6a271c62,Manufacturer,Drug manufacturer or labeler company,
76fa853e896f5354b4f2d9d3f86f4261,NDC,National Drug Code identifier,
bf18230767f55134938b218f276a8582,Provenance,Data source provenance,
7c29d4d3397c5438a4acec897279c3de,Section,"Document section (e.g., drug label section)",
4822b22d31575791948e17f478af3a03,DrugClass,Drug classification or category,
9957bde775b75993a4fdc1629b91a6e7,Relation,GRC-20 relation entity (edge between nodes),
a8f3b2c1d4e5567890abcdef12345678,PubChemCompound,PubChem chemical compound entry,
